Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
03/02/2022,United States,2020,1,2020-01-04,60175,55008,843,11569,1829,2537,1559,3501,1067,1094,629,14202,3110,0,0,,,,,,,,,,,,,,,
03/02/2022,United States,2020,2,2020-01-11,60732,55753,861,11962,1941,2566,1528,3709,1035,1092,649,13911,3188,1,1,,,,,,,,,,,,,,,
03/02/2022,United States,2020,3,2020-01-18,59368,54519,829,11701,1819,2491,1484,3527,992,1121,610,13595,3256,2,1,,,,,,,,,,,,,,,
03/02/2022,United States,2020,4,2020-01-25,59158,54396,828,11880,1864,2517,1488,3403,979,1107,637,13610,3185,2,1,,,,,,,,,,,,,,,
03/02/2022,United States,2020,5,2020-02-01,58827,53996,811,11963,1828,2480,1411,3313,981,1074,613,13463,3084,0,0,,,,,,,,,,,,,,,
03/02/2022,United States,2020,6,2020-02-08,59487,54414,806,11704,1957,2515,1463,3413,974,1135,599,14005,3056,4,3,,,,,,,,,,,,,,,
03/02/2022,United States,2020,7,2020-02-15,58808,53964,792,11806,1848,2537,1514,3477,979,1070,613,13640,3088,5,2,,,,,,,,,,,,,,,
03/02/2022,United States,2020,8,2020-02-22,58906,53983,779,11780,1880,2515,1461,3454,968,1059,608,13630,3083,6,6,,,,,,,,,,,,,,,
03/02/2022,United States,2020,9,2020-02-29,59330,54313,813,11790,1831,2519,1507,3460,1011,1092,677,13712,3126,9,9,,,,,,,,,,,,,,,
03/02/2022,United States,2020,10,2020-03-07,59692,54384,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34,,,,,,,,,,,,,,,
03/02/2022,United States,2020,11,2020-03-14,58690,53542,756,11568,1744,2445,1641,3391,993,1078,645,13444,3165,60,55,,,,,,,,,,,,,,,
03/02/2022,United States,2020,12,2020-03-21,59216,54300,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588,550,,,,,,,,,,,,,,,
03/02/2022,United States,2020,13,2020-03-28,63013,58229,847,11782,2044,2749,1783,3519,1064,1024,629,13708,3067,3217,3035,,,,,,,,,,,,,,,
03/02/2022,United States,2020,14,2020-04-04,72282,67435,947,11591,2297,2871,1849,3538,1027,1038,689,14944,3165,10134,9632,,,,,,,,,,,,,,,
03/02/2022,United States,2020,15,2020-04-11,79095,73995,833,11549,2354,2963,1615,3442,1017,1120,665,15765,3191,16325,15509,,,,,,,,,,,,,,,
03/02/2022,United States,2020,16,2020-04-18,76794,71882,745,11210,2270,2899,1233,3195,916,1098,668,14567,3204,17204,16294,,,,,,,,,,,,,,,
03/02/2022,United States,2020,17,2020-04-25,73898,68731,735,11366,2085,2804,1138,2993,887,987,674,13857,3058,15551,14654,,,,,,,,,,,,,,,
03/02/2022,United States,2020,18,2020-05-02,69293,63922,739,11097,1935,2727,1009,2928,851,961,547,13003,3042,13217,12432,,,,,,,,,,,,,,,
03/02/2022,United States,2020,19,2020-05-09,66803,61165,720,11014,1972,2498,864,2808,855,938,589,13167,2848,11237,10458,,,,,,,,,,,,,,,
03/02/2022,United States,2020,20,2020-05-16,64468,58973,679,11269,1969,2432,857,2770,787,976,563,12733,2959,9237,8495,,,,,,,,,,,,,,,
03/02/2022,United States,2020,21,2020-05-23,61618,56006,713,11116,1834,2417,804,2675,743,917,571,12788,2827,7248,6593,,,,,,,,,,,,,,,
03/02/2022,United States,2020,22,2020-05-30,59667,53987,654,10903,1813,2261,751,2633,759,893,576,12452,2851,6172,5593,,,,,,,,,,,,,,,
03/02/2022,United States,2020,23,2020-06-06,58893,52922,729,11081,1727,2302,701,2563,779,904,557,12462,2791,5058,4518,,,,,,,,,,,,,,,
03/02/2022,United States,2020,24,2020-06-13,58015,52267,693,11130,1741,2326,700,2502,737,923,584,12412,2838,4232,3729,,,,,,,,,,,,,,,
